iter	RMSE
1176	0.6258572306
1177	0.6258041778
1178	0.6257260247
1179	0.6256995465
1180	0.6256721559
1181	0.6256367289
1182	0.6256052295
1183	0.6255696838
1184	0.6255549926
1185	0.6255004972
1186	0.6254559161
1187	0.6254172107
1188	0.625396056
1189	0.6253498554
1190	0.6253164386
1191	0.6252581802
1192	0.6251889879
1193	0.6251150781
1194	0.6250659853
1195	0.6250253503
1196	0.6249669581
1197	0.6249283046
1198	0.6248787576
1199	0.6248379411
1200	0.6247980429
1201	0.6247181498
1202	0.6246818672
1203	0.6245977227
1204	0.6245590777
1205	0.6244612325
1206	0.6244321484
1207	0.624372302
1208	0.6243275098
1209	0.6242875029
1210	0.6242254746
1211	0.6241527177
1212	0.6240938338
1213	0.6240555819
1214	0.6239810948
1215	0.6239244434
1216	0.6238782478
1217	0.6237939321
1218	0.6237460567
1219	0.6236929227
1220	0.6236785382
1221	0.6235935517
1222	0.6235362785
1223	0.6234999723
1224	0.6234282367
1225	0.623392346
1226	0.6233753797
1227	0.6233269466
1228	0.6232961475
1229	0.6232671972
1230	0.6232301595
1231	0.6232124635
1232	0.6231310792
1233	0.6231051673
1234	0.6230290264
1235	0.6229902312
1236	0.6228975003
1237	0.6228715186
1238	0.6228427745
1239	0.6228071541
1240	0.6227706325
1241	0.6227114163
1242	0.6226757129
1243	0.6226354417
1244	0.6226107897
1245	0.6225356037
1246	0.6224850007
1247	0.6224407197
1248	0.6223945105
1249	0.6223738499
1250	0.6223427372
1251	0.6223039555
1252	0.622241751
1253	0.6221958443
1254	0.6221375874
1255	0.6220990327
1256	0.6220718979
1257	0.6220295245
1258	0.622002765
1259	0.6219625308
1260	0.6218871218
1261	0.6218543944
1262	0.6218012817
1263	0.6217513072
1264	0.6216953743
1265	0.6216489435
1266	0.6215907102
1267	0.6215498399
1268	0.6215170558
1269	0.6214696373
1270	0.6214266175
1271	0.6213652467
1272	0.6213237788
1273	0.6212537332
1274	0.6212191422
1275	0.6211749676
1276	0.6211255598
1277	0.6210872503
1278	0.6210378344
1279	0.6210040605
1280	0.6209434829
1281	0.6208882498
1282	0.6208256615
1283	0.6207881829
1284	0.6207662997
1285	0.6207238289
1286	0.6207053599
1287	0.6206712943
1288	0.6206014992
1289	0.6205690305
1290	0.6205235949
1291	0.6204798494
1292	0.6204412226
1293	0.6203873251
1294	0.620325959
1295	0.6202781963
1296	0.6202160549
1297	0.6201543672
1298	0.6200990343
1299	0.6200213127
1300	0.6199749898
1301	0.6199325249
1302	0.6198803559
1303	0.6198440055
1304	0.6198192719
1305	0.6197546267
1306	0.6197349465
1307	0.619707336
1308	0.6196501264
1309	0.6196004677
1310	0.6195772356
1311	0.6195380888
1312	0.6194444514
1313	0.619389767
1314	0.6193421381
1315	0.6193086486
1316	0.6192118537
1317	0.6191741776
1318	0.619132032
1319	0.6190949299
1320	0.619009719
1321	0.6189803278
1322	0.6189283871
1323	0.6188847472
1324	0.6188352247
1325	0.6187887121
1326	0.6187499471
1327	0.6187051891
1328	0.6186721767
1329	0.6186345619
1330	0.6186014065
1331	0.6185516672
1332	0.6185204872
1333	0.6183988255
1334	0.6183852764
1335	0.6183504996
1336	0.6182999067
1337	0.6182624121
1338	0.6181847487
1339	0.6181319103
1340	0.6180996978
1341	0.6180324512
1342	0.6179900944
1343	0.6179455513
1344	0.6178859632
1345	0.617829056
1346	0.6177481047
1347	0.6176655254
1348	0.6176236393
1349	0.6175843374
1350	0.617557451
1351	0.6175111568
1352	0.6174776581
1353	0.617426666
1354	0.6173899593
1355	0.6173628294
1356	0.617330993
1357	0.6173115443
1358	0.6172356975
1359	0.6171663278
1360	0.6171047328
1361	0.6170408795
1362	0.6169962843
1363	0.6169364883
1364	0.6168899337
1365	0.6168385331
1366	0.6168040446
1367	0.6167616648
1368	0.6167264004
1369	0.6166485325
1370	0.6165877458
1371	0.6165561165
1372	0.6164803842
1373	0.6164514925
1374	0.6164191356
1375	0.6163804128
1376	0.616337148
1377	0.6162753744
1378	0.6162357871
1379	0.6161852259
1380	0.6161485388
1381	0.6160919234
1382	0.6160298442
1383	0.6159801111
1384	0.6159270963
1385	0.6158863586
1386	0.6158446217
1387	0.6158068757
1388	0.615752908
1389	0.6156947002
1390	0.6156588669
1391	0.6156097268
1392	0.6155652113
1393	0.615525996
1394	0.615455508
1395	0.6154277285
1396	0.6153521221
1397	0.6153124592
1398	0.6152577517
1399	0.6152147996
1400	0.6151996348
1401	0.6151045103
1402	0.6150554103
1403	0.6150395328
1404	0.615026099
1405	0.6149948624
1406	0.6149411459
1407	0.6148957708
1408	0.6148531439
1409	0.6148368844
1410	0.6148259365
1411	0.6147912601
1412	0.6147653128
1413	0.6147175631
1414	0.6146773106
1415	0.6146545054
1416	0.6146285125
1417	0.6146075709
1418	0.614573893
1419	0.6145490737
1420	0.6144911728
1421	0.614456153
1422	0.614402545
1423	0.6143579357
1424	0.6143145145
1425	0.614266606
1426	0.6142163736
1427	0.6141701007
1428	0.6141333661
1429	0.6140728081
1430	0.614005734
1431	0.6139738196
1432	0.6139175223
1433	0.6138562606
1434	0.6138107919
1435	0.6137503444
1436	0.6136468766
1437	0.6136015848
1438	0.6135740223
1439	0.6135062616
1440	0.6134786976
1441	0.6134401134
1442	0.6134105779
1443	0.6133755971
1444	0.6133459678
1445	0.6133149139
1446	0.6132793521
1447	0.6132164958
1448	0.6131817913
1449	0.6131248836
1450	0.6130927617
1451	0.6130773829
1452	0.613031027
1453	0.612981388
1454	0.6129230078
1455	0.6128762427
1456	0.6128136139
1457	0.6127816621
1458	0.6127211736
1459	0.6126250439
1460	0.6125816831
1461	0.6125103282
1462	0.6124693369
1463	0.6124374577
1464	0.6123970146
1465	0.6123550318
1466	0.6123137088
1467	0.6122806414
1468	0.6122332966
1469	0.6121810445
1470	0.6121505177
1471	0.6121096046
1472	0.6120900422
1473	0.6120342599
1474	0.611975843
1475	0.6119457491
1476	0.611890792
1477	0.6118539698
1478	0.6118242313
1479	0.6118063521
1480	0.6117825991
1481	0.6117320884
1482	0.6117079734
1483	0.6116674697
1484	0.6116280455
1485	0.611581837
1486	0.6115521248
1487	0.61150029
1488	0.6114565261
1489	0.6113880418
1490	0.6113684272
1491	0.6113383311
1492	0.6112943199
1493	0.6112428849
1494	0.6112202305
1495	0.611163537
1496	0.6111218251
1497	0.6110778785
1498	0.6110295129
1499	0.6110020587
1500	0.6109630693
1501	0.6109189652
1502	0.6108797157
1503	0.6108261681
1504	0.6107842779
1505	0.6107476596
1506	0.610721263
1507	0.6106936402
1508	0.6106112925
1509	0.6105839093
1510	0.6105485472
1511	0.610501708
1512	0.610453306
